"site","attribute","value"
"RV_01_245","lat","33.757913"
"RV_01_245","long","-82.383578"
"RV_01_245","catchkm2","11.079"
"RV_01_245","ecoregion3","Piedmont"
"RV_01_248","lat","34.952033"
"RV_01_248","long","-83.516598"
"RV_01_248","catchkm2","7.5924"
"RV_01_248","ecoregion3","Blue Ridge"
"RV_01_250","lat","34.664911"
"RV_01_250","long","-83.369779"
"RV_01_250","catchkm2","0.6165"
"RV_01_250","ecoregion3","Blue Ridge"
"RV_01_253","lat","33.841068"
"RV_01_253","long","-82.95028"
"RV_01_253","catchkm2","2.5614"
"RV_01_253","ecoregion3","Piedmont"
"RV_01_255","lat","33.753558"
"RV_01_255","long","-82.548275"
"RV_01_255","catchkm2","7.8687"
"RV_01_255","ecoregion3","Piedmont"
"RV_01_257","lat","33.664353"
"RV_01_257","long","-82.553397"
"RV_01_257","catchkm2","1.9629"
"RV_01_257","ecoregion3","Piedmont"
"RV_01_260","lat","34.504091"
"RV_01_260","long","-83.436877"
"RV_01_260","catchkm2","0.3204"
"RV_01_260","ecoregion3","Piedmont"
"RV_01_264","lat","33.439711"
"RV_01_264","long","-82.027778"
"RV_01_264","catchkm2","5.0184"
"RV_01_264","ecoregion3","Southeastern Plains"
"RV_01_267","lat","32.055292"
"RV_01_267","long","-81.119148"
"RV_01_267","catchkm2","7.1694"
"RV_01_267","ecoregion3","Southern Coastal Plain"
"RV_01_268","lat","34.838698"
"RV_01_268","long","-83.417041"
"RV_01_268","catchkm2","6.7824"
"RV_01_268","ecoregion3","Blue Ridge"
